COL0	COL1	COL2	COL3	COL4
ID1	VAL11	VAL12	VAL13	VAL14
ID2	VAL21	VAL22	VAL23	VAL24
ID3	VAL31	VAL32	VAL32	VAL34
ID4	VAL41	VAL42	VAL43	VAL44
ID5	VAL51	VAL52	VAL52	VAL54
ID6	VAL61	VAL62	VAL63	VAL64
ID7	VAL71	VAL72	VAL73	VAL74
ID8	VAL81	VAL82	VAL83	VAL84
ID9	VAL91	VAL92	VAL93	VAL94
ID10	VAL101	VAL102	VAL103	VAL104
ID11	VAL111	VAL112	VAL113	VAL114
ID12	VAL121	VAL122	VAL123	VAL124
ID13	VAL131	VAL132	VAL133	VAL134
ID14	VAL141	VAL142	VAL143	VAL144
ID15	VAL151	VAL152	VAL153	VAL154
ID16	VAL161	VAL162	VAL163	VAL164
ID17	VAL171	VAL172	VAL173	VAL174
ID18	VAL181	VAL182	VAL183	VAL184
ID19	VAL191	VAL192	VAL193	VAL194
ID20	VAL201	VAL202	VAL203	VAL204
ID21	VAL211	VAL212	VAL213	VAL214
